Fiscal Year,Total Renewable Energy Resources,Installed Rooftop Solar Capacity Minus Losses (MW),Total Renewable Energy Purchased Annually (kWh),GreenChoiceÂ®  Sales (kWh),Renewable Energy to Fuel Charge (kWh),Wind (MW),Utility-Scale Solar (MW),Biomass (MW)
01/01/2006 12:00:00 AM,6,1,662745030,606206182,54538848,,,
01/01/2007 12:00:00 AM,5.8,1.4,649266500,634964958,14301542,,,
01/01/2008 12:00:00 AM,6.6,2.3,797480831,730868214,66162617,,,
01/01/2009 12:00:00 AM,10,3.5,1279082866,828592825,450490041,,,
01/01/2010 12:00:00 AM,10,4.6,1245230733,862764289,382466444,,,
01/01/2011 12:00:00 AM,10,6.2,1246081470,719458823,526622647,,,
01/01/2012 12:00:00 AM,15,8.3,2082217224,744442709,1337774515,633.9,30,111.8
01/01/2013 12:00:00 AM,21,13.5,2656952000,863956193,1794979367,850.9,30,111.8
01/01/2014 12:00:00 AM,22,22.3,2895912363,683986607,2211925756,840.9,30,111.8
01/01/2015 12:00:00 AM,23,27.5,3126034327,637462000,2488572327,1340.9,30,111.8
01/01/2016 12:00:00 AM,29.8,43.4,3990199296,733070000,3257129296,1345.3,187.5,107.8
01/01/2017 12:00:00 AM,36,50.8,,817202198,,1253.5,305.5,107.8
09/30/2017 12:00:00 AM,36,50.8,,817202198,,1253.5,305.5,107.8
01/01/2018 12:00:00 AM,,63,,758586254,,1219,465.6,107.8
09/30/2018 12:00:00 AM,,63,,758586254,,1219,465.6,107.8
